epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3955.15,1.24371,0.94096,0.89344,0.90872,0.85337,0.91753,0.5734,1.69106,1.19841,1.09167,0.000647,0.000647,0.000647
125,4060.89,1.23448,0.91008,0.88192,0.93075,0.76808,0.84383,0.56532,1.57103,1.21642,1.0904,0.000636,0.000636,0.000636
126,4177.2,1.24316,0.92143,0.88029,0.89899,0.8,0.87577,0.60175,1.567,1.21053,1.14693,0.000625,0.000625,0.000625
127,4279.48,1.28791,0.92115,0.86429,0.89349,0.88571,0.90367,0.55777,1.68088,1.20843,1.12743,0.000614,0.000614,0.000614
128,4376.01,1.253,0.89799,0.8596,0.91474,0.85714,0.89667,0.59058,1.52033,1.2592,1.0845,0.000603,0.000603,0.000603
129,4437.38,1.21989,0.88181,0.87107,0.94064,0.90569,0.92692,0.6136,1.56453,1.36596,1.15535,0.000592,0.000592,0.000592
130,4541.2,1.19869,0.86259,0.87443,0.87796,0.88571,0.8789,0.57604,1.59006,1.21137,1.11449,0.000581,0.000581,0.000581
131,4629.83,1.17668,0.88103,0.88396,0.84952,0.85714,0.86772,0.56034,1.63376,1.22693,1.16924,0.00057,0.00057,0.00057
132,4704.16,1.26207,0.89051,0.87846,0.93366,0.88571,0.90546,0.57703,1.60185,1.26417,1.1584,0.000559,0.000559,0.000559
133,4811.12,1.22336,0.89331,0.85429,0.83297,0.85714,0.86514,0.59208,1.52883,1.21587,1.05872,0.000548,0.000548,0.000548
134,4918.25,1.24474,0.86999,0.87462,0.84849,0.85714,0.82754,0.51258,1.69051,1.31366,1.10062,0.000537,0.000537,0.000537
135,5001.21,1.26409,0.90966,0.88935,0.87754,0.81918,0.87887,0.57641,1.68053,1.16893,1.15443,0.000526,0.000526,0.000526
136,5070.54,1.19239,0.86601,0.88004,0.88152,0.88571,0.90727,0.59705,1.56115,1.18234,1.08332,0.000515,0.000515,0.000515
137,5164.21,1.20824,0.85441,0.86196,0.9102,0.86895,0.90351,0.62296,1.49685,1.16183,1.06775,0.000504,0.000504,0.000504
138,5258.21,1.23883,0.89778,0.86016,0.90781,0.84429,0.88681,0.56191,1.54008,0.9428,1.10426,0.000493,0.000493,0.000493
139,5335.67,1.1597,0.82924,0.86501,0.94083,0.90876,0.92152,0.6131,1.61937,1.26127,1.14758,0.000482,0.000482,0.000482
140,5425.16,1.18784,0.84193,0.85975,0.93644,0.91429,0.89925,0.53903,1.74741,1.19325,1.17205,0.000471,0.000471,0.000471
141,5502.55,1.18272,0.85841,0.87488,0.92989,0.85714,0.91198,0.59211,1.60618,1.27577,1.11664,0.00046,0.00046,0.00046
142,5604.82,1.21,0.87385,0.86909,0.93461,0.88571,0.88836,0.59026,1.57567,1.21291,1.07844,0.000449,0.000449,0.000449
143,5698.07,1.18676,0.85318,0.85553,0.93715,0.85714,0.90829,0.61524,1.56606,1.16422,1.13498,0.000438,0.000438,0.000438
144,5780.9,1.20655,0.84331,0.85893,0.89491,0.85714,0.88065,0.57657,1.60054,1.30688,1.13119,0.000427,0.000427,0.000427
145,5843.04,1.19306,0.83735,0.86009,0.87634,0.85714,0.87877,0.58686,1.62119,1.16681,1.08886,0.000416,0.000416,0.000416
146,5948.93,1.16778,0.85988,0.8517,0.91176,0.88567,0.90262,0.59627,1.63111,1.43086,1.12004,0.000405,0.000405,0.000405
147,6033.38,1.18926,0.83369,0.86948,0.93706,0.91429,0.89962,0.54497,1.70975,1.35684,1.1423,0.000394,0.000394,0.000394
148,6134.8,1.12341,0.82523,0.85867,0.90339,0.88571,0.8856,0.57699,1.61671,1.31218,1.15713,0.000383,0.000383,0.000383
149,6213.21,1.16217,0.85405,0.86409,0.93912,0.91429,0.91942,0.61341,1.57409,1.27196,1.08375,0.000372,0.000372,0.000372
150,6286.29,1.18953,0.86225,0.86737,0.90087,0.85714,0.87994,0.59095,1.66797,1.31135,1.15201,0.000361,0.000361,0.000361
151,6377.74,1.19,0.81935,0.85869,0.91344,0.90473,0.88985,0.60652,1.62127,1.27459,1.17579,0.00035,0.00035,0.00035
152,6476.26,1.12623,0.80742,0.85439,0.90228,0.85714,0.85209,0.54341,1.57376,1.22174,1.12446,0.000339,0.000339,0.000339
153,6563.55,1.16195,0.83054,0.85617,0.84777,0.85714,0.84151,0.58078,1.49896,1.17928,1.12439,0.000328,0.000328,0.000328
154,6664.04,1.21815,0.82818,0.84797,0.90249,0.85714,0.83969,0.55899,1.54461,1.31246,1.14344,0.000317,0.000317,0.000317
155,6736.85,1.1663,0.88034,0.8349,0.86986,0.82857,0.86266,0.60295,1.59451,1.30629,1.12072,0.000306,0.000306,0.000306
156,6791.68,1.15598,0.83555,0.85012,0.86742,0.85714,0.88826,0.62557,1.50154,1.24959,1.12212,0.000295,0.000295,0.000295
