epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,2396.44,1.1175,0.78768,0.86174,0.99075,0.78571,0.79832,0.64829,1.06579,0.73377,0.75247,0.000713,0.000713,0.000713
132,2410.75,1.08005,0.77379,0.86804,0.89159,0.78571,0.78746,0.59357,1.09842,0.82976,0.73985,0.0007031,0.0007031,0.0007031
133,2428.79,1.10711,0.75165,0.86154,1,0.76783,0.80722,0.63311,0.99776,0.76765,0.74449,0.0006932,0.0006932,0.0006932
134,2443.89,1.14185,0.73849,0.85595,0.91513,0.77122,0.78745,0.6331,1.06994,0.8266,0.75532,0.0006833,0.0006833,0.0006833
135,2463.35,1.16092,0.77088,0.86103,0.90721,0.78571,0.81528,0.58822,1.25714,0.75723,0.74053,0.0006734,0.0006734,0.0006734
136,2477.62,1.0532,0.73534,0.87717,0.90023,0.78571,0.79769,0.62745,1.03323,0.79443,0.76467,0.0006635,0.0006635,0.0006635
137,2493.79,1.09976,0.73804,0.88237,0.89425,0.78571,0.79961,0.62149,1.07714,0.76798,0.77289,0.0006536,0.0006536,0.0006536
138,2510.69,1.10081,0.7015,0.83762,0.98878,0.78571,0.82628,0.68579,1.03698,0.80128,0.75838,0.0006437,0.0006437,0.0006437
139,2525.29,1.02841,0.69346,0.8556,0.90654,0.78571,0.80674,0.64454,1.03348,0.80054,0.74443,0.0006338,0.0006338,0.0006338
140,2539.03,1.01518,0.67309,0.8378,0.90483,0.78571,0.81987,0.67102,1.02849,0.88306,0.78429,0.0006239,0.0006239,0.0006239
141,2553.25,1.11142,0.7651,0.84509,0.977,0.78571,0.82206,0.68932,1.03844,0.84403,0.74046,0.000614,0.000614,0.000614
142,2569.61,1.06666,0.74871,0.86079,0.99666,0.78571,0.82369,0.66842,1.09453,0.83691,0.74052,0.0006041,0.0006041,0.0006041
143,2583,1.11236,0.75956,0.85368,0.90395,0.78571,0.81883,0.66233,1.04519,0.8182,0.77373,0.0005942,0.0005942,0.0005942
144,2599.42,1.03729,0.7236,0.83401,0.91418,0.78571,0.81037,0.66433,1.03518,0.75462,0.75264,0.0005843,0.0005843,0.0005843
145,2616.64,1.03532,0.72305,0.81936,0.91452,0.78571,0.87011,0.71857,0.97773,0.75426,0.74292,0.0005744,0.0005744,0.0005744
146,2632.04,0.9723,0.68324,0.85773,0.84318,0.78571,0.87254,0.70375,1.06191,0.85153,0.76609,0.0005645,0.0005645,0.0005645
147,2647.18,1.01203,0.66655,0.8511,0.83951,0.78571,0.84024,0.68798,1.04879,0.9816,0.78178,0.0005546,0.0005546,0.0005546
148,2662.71,1.00013,0.68892,0.85827,0.84053,0.78571,0.86929,0.70129,0.97609,0.82246,0.74483,0.0005447,0.0005447,0.0005447
149,2679.07,1.00568,0.68024,0.83652,0.90102,0.78571,0.80387,0.65743,0.97573,0.74943,0.76804,0.0005348,0.0005348,0.0005348
150,2693.84,1.00135,0.71222,0.83393,0.98701,0.78571,0.8051,0.65384,0.98773,0.71391,0.74093,0.0005249,0.0005249,0.0005249
151,2706.88,1.02217,0.6843,0.85059,0.99099,0.78571,0.86707,0.66944,1.03182,0.64291,0.73573,0.000515,0.000515,0.000515
152,2722.52,0.98439,0.70826,0.85731,0.98995,0.78571,0.81135,0.65016,1.06153,0.73476,0.7345,0.0005051,0.0005051,0.0005051
153,2736.36,0.97209,0.64336,0.83154,0.99088,0.78571,0.88603,0.72141,0.98118,0.75394,0.72522,0.0004952,0.0004952,0.0004952
154,2751,1.01413,0.64353,0.83253,0.98918,0.78571,0.85843,0.71915,0.96744,0.72802,0.73007,0.0004853,0.0004853,0.0004853
155,2773.14,0.94657,0.65877,0.83838,0.98724,0.78571,0.85447,0.68444,0.94851,0.74757,0.72835,0.0004754,0.0004754,0.0004754
156,2791.07,1.00375,0.70156,0.83395,0.9921,0.78571,0.84912,0.70012,0.92111,0.74207,0.74866,0.0004655,0.0004655,0.0004655
157,2805.41,0.94657,0.67125,0.86318,0.98769,0.78571,0.8378,0.69895,0.92019,0.78452,0.76058,0.0004556,0.0004556,0.0004556
158,2821.12,0.97549,0.67062,0.84024,0.97805,0.78571,0.84702,0.71382,0.99412,0.8926,0.74437,0.0004457,0.0004457,0.0004457
159,2837.31,0.97484,0.67128,0.81884,0.98295,0.78571,0.84151,0.68852,0.94207,0.83159,0.75521,0.0004358,0.0004358,0.0004358
160,2852.01,0.97114,0.6533,0.82827,0.91553,0.78571,0.82777,0.66892,0.98509,0.81381,0.75335,0.0004259,0.0004259,0.0004259
161,2870.7,1.01765,0.68279,0.84049,0.91591,0.77856,0.83771,0.68965,1.03596,0.78792,0.7481,0.000416,0.000416,0.000416
162,2888.91,1.03875,0.67155,0.83178,0.97857,0.78571,0.81135,0.67378,0.9835,0.77602,0.75143,0.0004061,0.0004061,0.0004061
163,2906.34,1.07289,0.6876,0.83747,0.98827,0.78571,0.80737,0.67451,0.98384,0.75787,0.7491,0.0003962,0.0003962,0.0003962
164,2920.48,0.96692,0.65384,0.80465,0.90469,0.78571,0.80612,0.68779,0.96745,0.75314,0.74285,0.0003863,0.0003863,0.0003863
165,2934.93,0.8919,0.62084,0.82866,0.90815,0.78571,0.82634,0.65544,1.05949,0.783,0.74457,0.0003764,0.0003764,0.0003764
166,2950.27,0.9296,0.64509,0.8538,1,0.76654,0.8233,0.68521,0.87623,0.80717,0.72513,0.0003665,0.0003665,0.0003665
167,2965,0.90924,0.64744,0.83797,1,0.76457,0.84101,0.69116,0.88268,0.75968,0.73253,0.0003566,0.0003566,0.0003566
168,2979.05,0.91554,0.66766,0.82174,0.90751,0.78571,0.84489,0.69615,0.83148,0.7881,0.7304,0.0003467,0.0003467,0.0003467
169,2992.32,0.89796,0.6305,0.83602,0.90831,0.78571,0.86588,0.7105,0.88017,0.75644,0.72723,0.0003368,0.0003368,0.0003368
170,3003.15,0.85284,0.60073,0.84083,0.90913,0.78571,0.86525,0.67732,0.88571,0.74889,0.73554,0.0003269,0.0003269,0.0003269
171,3015.14,0.87275,0.60799,0.82993,0.90774,0.78571,0.87585,0.69602,0.92641,0.73069,0.74047,0.000317,0.000317,0.000317
172,3029.67,0.86645,0.64011,0.83708,0.91597,0.78571,0.88977,0.73653,0.86216,0.68673,0.7193,0.0003071,0.0003071,0.0003071
173,3041.99,0.92157,0.62292,0.82651,0.96392,0.78571,0.87958,0.72662,0.89133,0.74049,0.72458,0.0002972,0.0002972,0.0002972
174,3057.77,0.93367,0.62391,0.83187,0.97636,0.78571,0.87815,0.71226,0.88316,0.66626,0.71894,0.0002873,0.0002873,0.0002873
175,3073.48,0.87284,0.62197,0.83157,1,0.7654,0.8576,0.7072,0.83785,0.66834,0.71126,0.0002774,0.0002774,0.0002774
176,3090.4,0.94272,0.63279,0.8218,0.952,0.78571,0.83448,0.69942,0.88069,0.74445,0.72497,0.0002675,0.0002675,0.0002675
177,3106.72,0.86532,0.60749,0.82221,0.89809,0.78571,0.84112,0.66318,0.97589,0.81668,0.73458,0.0002576,0.0002576,0.0002576
178,3122.29,0.87464,0.60883,0.82831,0.97227,0.78571,0.85219,0.69102,0.85607,0.78064,0.71759,0.0002477,0.0002477,0.0002477
179,3135.6,0.84817,0.61615,0.83398,0.97409,0.78571,0.84761,0.68463,0.88133,0.74849,0.71275,0.0002378,0.0002378,0.0002378
180,3149.38,0.90754,0.62378,0.81739,0.9905,0.78571,0.85072,0.7235,0.76525,0.69004,0.71092,0.0002279,0.0002279,0.0002279
181,3161.41,0.85037,0.59542,0.8395,0.99001,0.78571,0.8524,0.72025,0.8779,0.70008,0.70289,0.000218,0.000218,0.000218
